householdID,state,county,householdpax,AGI,conusleisure,children,leisureavg
119,New York,Nassau,1,150860.48,4236.88,0,9406.04
120,New York,Nassau,2,167866.48,3004.55,0,7454.38
121,New York,Nassau,2,197046.21,4292.93,1,5367.76
122,New York,Nassau,5,178281.98,5700.44,2,7860.26
123,New York,Nassau,2,134677.95,4753.59,1,7603.94
124,New York,Nassau,3,185360.45,1611.23,0,8617.48
125,New York,Nassau,3,197286.55,2961.14,1,9588.16
126,New York,Nassau,4,186873.06,6363.84,0,7245.19
127,New York,Nassau,4,157308.96,2645.61,0,6785.59
128,New York,Nassau,4,167662.06,3224.62,2,8494.32
129,New York,Nassau,1,199569.62,3553.7,0,7131.25
130,New York,Nassau,4,185355.7,6202.55,2,7116.9
131,New York,Nassau,2,181061.46,6993.53,0,8184.9
132,New York,Nassau,4,188157.42,3733.52,2,9018.1
133,New York,Nassau,1,172054.04,5578.64,0,5578.64
134,New York,Nassau,4,139905.2,5148.06,2,5422.39
135,New York,Nassau,2,144144.13,4402.74,1,5387.42
136,New York,Nassau,3,140196.98,2648.62,1,9381.0
137,New York,Nassau,5,144237.01,2130.25,1,6848.59
138,New York,Nassau,1,170208.8,1055.81,0,7863.37
139,New York,Nassau,4,150072.7,3219.31,1,7175.69
140,New York,Nassau,3,169349.39,3848.48,1,8674.19
141,New York,Nassau,2,212645.62,1924.33,1,6753.15
142,New York,Nassau,2,211088.49,4721.79,1,6833.38
143,New York,Nassau,2,182665.21,6040.33,1,6040.33
144,New York,Nassau,2,225062.32,4443.34,1,7928.25
145,New York,Nassau,2,164997.52,3065.05,1,7417.74
146,New York,Nassau,5,192610.59,5185.63,1,7966.33
147,New York,Nassau,1,161801.16,4988.42,0,9712.9
148,New York,Nassau,4,193230.54,3209.04,0,9091.35
149,New York,Nassau,2,125454.19,1840.33,1,7842.11
150,New York,Nassau,2,163236.27,6009.67,1,8702.43
151,New York,Nassau,3,129458.37,3250.36,2,9165.48
152,New York,Nassau,1,105144.51,6944.33,0,6944.33
153,New York,Nassau,2,236308.73,4917.8,1,7070.95
154,New York,Nassau,2,189724.02,7618.95,1,7618.95
155,New York,Nassau,5,209597.52,3185.25,1,8772.42
156,New York,Nassau,2,206539.37,5991.52,1,7968.54
157,New York,Nassau,3,172389.95,3475.15,2,9433.83
158,New York,Nassau,7,230843.01,4737.34,1,9113.71
159,New York,Nassau,2,180357.44,2450.87,1,6956.71
160,New York,Nassau,2,153013.67,5509.16,1,8293.18
161,New York,Nassau,1,170009.33,6586.9,0,6586.9
162,New York,Nassau,4,194186.44,4303.61,0,11531.3
163,New York,Nassau,6,153266.73,4362.48,1,6537.22
164,New York,Nassau,3,170196.12,6658.02,2,6658.02
165,New York,Nassau,5,175591.07,5800.66,2,7733.2
166,New York,Nassau,1,175122.9,6824.9,0,6824.9
167,New York,Nassau,5,129412.46,6581.55,2,6581.55
168,New York,Nassau,3,135970.97,7331.03,2,8180.72
169,New York,Nassau,6,206351.3,6655.51,2,6838.82
170,New York,Nassau,2,194322.63,7333.45,1,8054.14
171,New York,Nassau,4,141028.82,5018.69,2,5018.69
172,New York,Nassau,6,129620.34,2714.15,1,7903.79
173,New York,Nassau,4,194970.89,6696.04,2,6696.04
174,New York,Nassau,4,180172.97,1907.08,3,7202.92
175,New York,Nassau,4,196699.22,5795.14,1,6155.16
176,New York,Nassau,1,106020.45,7256.18,0,7256.18
177,New York,Nassau,1,179971.86,5958.57,0,5958.57
178,New York,Nassau,6,163806.83,5472.99,1,5824.67
179,New York,Nassau,3,152872.83,5273.7,1,8304.21
180,New York,Nassau,1,186024.05,8039.23,0,9371.15
181,New York,Nassau,1,162397.07,5494.57,0,6446.12
182,New York,Nassau,4,191532.24,5636.75,3,5936.38
183,New York,Nassau,2,212973.29,5501.57,1,6911.71
184,New York,Nassau,2,194967.38,5094.21,1,7868.98
185,New York,Nassau,2,204646.82,2950.5,1,6299.44
186,New York,Nassau,6,184364.46,2603.17,2,9620.51
187,New York,Nassau,3,180913.2,3423.29,2,7126.72
188,New York,Nassau,2,224994.15,8518.02,1,8518.02
189,New York,Nassau,3,141930.74,5264.48,2,8512.57
190,New York,Nassau,3,179861.7,3529.1,1,5949.91
191,New York,Nassau,4,188597.23,5927.06,2,5927.06
192,New York,Nassau,3,240386.91,4593.72,2,7928.7
193,New York,Nassau,1,176225.97,5670.99,0,8001.69
194,New York,Nassau,2,222448.36,4795.6,0,8112.16
195,New York,Nassau,3,179980.32,4808.83,2,7373.06
196,New York,Nassau,4,199805.97,3930.05,1,8797.85
197,New York,Nassau,5,165052.21,3570.5,0,7700.37
198,New York,Nassau,2,179050.22,3111.74,1,7967.27
199,New York,Nassau,3,150289.21,2749.34,1,8214.95
200,New York,Nassau,4,234817.89,3449.69,2,7175.19
201,New York,Nassau,5,118931.51,4508.33,4,7070.67
202,New York,Nassau,1,148266.42,5325.54,0,6549.7
203,New York,Nassau,4,202926.94,7079.78,0,8003.19
204,New York,Nassau,3,161028.45,5863.94,1,7498.66
205,New York,Nassau,3,203227.85,3588.56,2,5618.23
206,New York,Nassau,4,133863.82,3865.7,2,9697.13
207,New York,Nassau,5,210825.17,6494.79,2,9463.06
208,New York,Nassau,1,163835.25,6713.63,0,7963.92
209,New York,Nassau,4,175837.08,5008.49,1,5855.99
210,New York,Nassau,5,136783.74,3502.2,2,7122.78
211,New York,Nassau,5,197813.91,6533.83,2,6533.83
212,New York,Nassau,5,150736.04,3737.98,2,8298.57
213,New York,Nassau,1,156737.02,4167.92,0,9062.15
214,New York,Nassau,1,172427.8,3864.77,0,7316.22
215,New York,Nassau,2,125864.52,2466.76,1,8286.96
216,New York,Nassau,4,209988.92,6226.48,1,7944.36
217,New York,Nassau,3,206482.01,5427.86,2,8037.56
218,New York,Nassau,3,216042.75,4290.14,2,4844.92
219,New York,Nassau,4,164911.87,5891.63,1,7765.61
220,New York,Nassau,4,168508.79,3925.33,2,6589.19
221,New York,Nassau,3,174696.56,4734.91,1,7801.02
222,New York,Nassau,4,167786.14,3951.86,1,7992.63
223,New York,Nassau,5,236165.52,5106.24,2,8229.57
224,New York,Nassau,7,199945.91,4087.93,1,8705.23
225,New York,Nassau,3,180923.98,2540.16,2,7552.69
226,New York,Nassau,3,201923.0,4071.11,2,7756.87
227,New York,Nassau,3,172764.97,6217.39,1,8032.2
228,New York,Nassau,4,177540.75,5219.01,1,6450.74
229,New York,Nassau,4,156027.28,5336.65,1,6791.58
230,New York,Nassau,4,170340.19,2620.93,1,6995.52
231,New York,Nassau,3,147983.47,4456.95,0,7135.67
232,New York,Nassau,2,210230.56,4897.7,1,6460.37
233,New York,Nassau,2,191508.06,2858.99,1,4460.81
234,New York,Nassau,2,158387.18,3954.15,1,7757.03
235,New York,Nassau,4,182002.88,6093.41,2,6893.7
236,New York,Nassau,4,102981.33,6069.64,0,8394.33
237,New York,Nassau,1,180195.75,4609.3,0,6461.16
238,New York,Nassau,3,149920.36,4892.09,2,7459.49
239,New York,Nassau,3,236577.97,3249.83,2,6413.98
240,New York,Nassau,4,124133.11,4518.57,1,6947.62
241,New York,Nassau,2,231585.84,5199.89,0,8676.48
242,New York,Nassau,2,173635.74,6529.37,1,8099.13
243,New York,Nassau,1,197236.35,3803.96,0,9471.27
244,New York,Nassau,4,205914.38,5280.77,2,7540.82
245,New York,Nassau,5,126221.08,6201.78,1,7585.15
246,New York,Nassau,6,196002.16,7794.25,2,9367.89
247,New York,Nassau,3,147015.57,4844.46,1,9139.27
248,New York,Nassau,2,183794.54,4071.4,1,9382.47
249,New York,Nassau,2,195316.8,5512.82,1,9424.74
250,New York,Nassau,3,162836.55,5152.55,2,6668.63
251,New York,Nassau,2,194817.87,2926.11,1,8524.92
252,New York,Nassau,6,197974.21,4767.04,1,7388.38
253,New York,Nassau,4,155584.09,7202.66,2,7519.97
254,New York,Nassau,5,181401.97,2154.46,1,6802.85
255,New York,Nassau,2,125092.38,3738.85,0,5828.48
256,New York,Nassau,4,211252.41,6340.06,2,8276.42
257,New York,Nassau,3,210349.86,2182.03,0,6386.05
258,New York,Nassau,3,203778.6,5608.4,1,7062.76
259,New York,Nassau,4,148810.89,5005.23,1,6854.95
260,New York,Nassau,3,152244.22,4399.02,0,6875.23
261,New York,Nassau,3,165377.43,1905.73,2,6010.76
262,New York,Nassau,2,214123.5,2575.75,0,10322.51
263,New York,Nassau,3,215472.94,3181.92,1,6788.8
264,New York,Nassau,4,139954.05,3580.04,2,8503.11
265,New York,Nassau,4,173095.43,6667.54,0,7456.44
266,New York,Nassau,5,170213.58,3128.25,1,6709.29
267,New York,Nassau,3,158697.02,5378.74,0,6600.39
268,New York,Nassau,5,159140.35,3786.28,1,6488.9
269,New York,Nassau,1,179253.34,3906.69,0,7439.87
270,New York,Nassau,3,158049.4,5100.11,0,7121.47
271,New York,Nassau,3,157735.6,3444.24,0,8401.08
272,New York,Nassau,6,164017.09,4269.21,1,7054.92
273,New York,Nassau,4,194295.47,2904.53,1,7864.4
274,New York,Nassau,5,136597.6,6532.05,3,9580.81
275,New York,Nassau,5,147908.93,4725.9,2,9424.47
276,New York,Nassau,3,186741.19,3683.68,2,6765.39
277,New York,Nassau,4,253274.64,5287.88,1,6667.8
278,New York,Nassau,3,157883.0,3920.04,0,8682.72
279,New York,Nassau,5,194607.33,4829.06,2,8171.55
280,New York,Nassau,4,154950.44,3114.91,2,8506.09
281,New York,Nassau,1,180522.96,6098.93,0,7462.97
282,New York,Nassau,3,151878.21,4235.53,2,10041.91
283,New York,Nassau,3,156080.75,2923.29,0,8190.82
284,New York,Nassau,2,130865.7,8452.58,0,9427.59
285,New York,Nassau,2,152979.0,5749.56,1,6661.05
286,New York,Nassau,2,139551.08,5261.47,1,7187.44
287,New York,Nassau,3,170237.21,7617.01,1,7930.54
288,New York,Nassau,4,183981.52,5274.12,2,9167.52
289,New York,Nassau,1,149609.52,4468.47,0,9000.33
290,New York,Nassau,2,166126.5,6825.31,1,8138.9
291,New York,Nassau,5,154366.43,7111.62,2,7111.62
292,New York,Nassau,3,209950.64,4229.67,1,8662.68
293,New York,Nassau,1,159848.72,5242.36,0,5242.36
294,New York,Nassau,4,197950.47,3877.48,1,7425.74
295,New York,Nassau,1,175313.51,3475.99,0,8046.3
296,New York,Nassau,4,192193.35,5983.84,2,6966.73
297,New York,Nassau,2,188179.33,3549.33,1,5514.73
298,New York,Nassau,3,200890.2,5482.94,0,5482.94
299,New York,Nassau,4,160281.68,6415.11,3,9184.89
300,New York,Nassau,3,147795.38,4769.35,1,7458.97
301,New York,Nassau,1,205927.62,7531.13,0,7912.29
302,New York,Nassau,3,137715.01,8071.72,1,8071.72
303,New York,Nassau,1,219390.88,3980.4,0,7012.26
304,New York,Nassau,2,131244.43,2612.67,1,8720.27
305,New York,Nassau,2,188257.72,4991.09,1,6727.65
306,New York,Nassau,5,227198.99,5755.19,0,9364.5
307,New York,Nassau,3,181964.33,4779.28,1,7786.88
308,New York,Nassau,3,189546.76,2539.07,1,7856.41
309,New York,Nassau,2,213327.64,7069.13,1,8530.75
310,New York,Nassau,3,192125.61,5160.58,1,8574.9
311,New York,Nassau,1,165887.25,3974.11,0,7307.83
312,New York,Nassau,4,182857.27,7361.13,1,7361.13
313,New York,Nassau,1,172358.12,3681.16,0,8403.07
314,New York,Nassau,3,160102.46,4614.74,2,10116.36
315,New York,Nassau,2,174778.55,4693.14,1,8072.16
316,New York,Nassau,5,167979.6,4138.19,2,8662.11
317,New York,Nassau,3,185836.46,5193.31,0,8130.35
318,New York,Nassau,3,158795.53,6134.0,2,9578.63
319,New York,Nassau,2,198758.36,5775.72,1,7378.23
320,New York,Nassau,5,190907.21,5653.36,1,7796.54
321,New York,Nassau,2,167482.85,5906.45,1,9612.43
322,New York,Nassau,4,212119.17,3687.1,2,9534.81
323,New York,Nassau,2,204803.26,4669.39,1,6579.13
324,New York,Nassau,2,131118.14,4233.47,1,7769.06
325,New York,Nassau,3,215054.14,7410.85,0,7522.31
326,New York,Nassau,3,161145.38,3884.16,2,9910.73
327,New York,Nassau,4,158648.07,6205.58,1,7064.18
328,New York,Nassau,3,190589.63,6440.18,2,7755.78
329,New York,Nassau,3,119942.85,6587.69,2,6587.69
330,New York,Nassau,3,192057.27,5321.95,1,7539.61
331,New York,Nassau,3,167785.8,7136.8,2,7136.8
332,New York,Nassau,1,176356.08,3285.34,0,9940.19
333,New York,Nassau,1,205015.83,6904.5,0,6904.5
334,New York,Nassau,6,126458.83,5898.2,1,7730.26
335,New York,Nassau,2,178603.55,5419.86,1,6948.63
336,New York,Nassau,4,207946.87,5814.22,2,5839.66
337,New York,Nassau,2,213471.47,5829.62,1,7845.3
338,New York,Nassau,3,151467.73,6732.11,2,8055.44
339,New York,Nassau,3,204771.7,5185.86,1,6970.94
340,New York,Nassau,1,212023.76,4146.65,0,7197.82
341,New York,Nassau,4,185714.51,2516.0,1,7837.79
342,New York,Nassau,2,169508.94,5117.17,1,7374.6
343,New York,Nassau,4,163753.55,5442.37,1,6140.32
344,New York,Nassau,2,139018.01,4918.45,1,8449.87
345,New York,Nassau,1,165351.67,6731.13,0,7189.26
346,New York,Nassau,2,147066.26,4648.79,1,8763.21
347,New York,Nassau,5,187020.1,2004.31,0,7337.6
348,New York,Nassau,4,178528.91,6035.02,2,6367.36
349,New York,Nassau,3,159930.63,3822.18,1,7755.84
350,New York,Nassau,4,159819.48,4982.33,2,8142.26
351,New York,Nassau,4,144771.74,5524.89,2,7277.24
352,New York,Nassau,4,163958.56,1955.01,1,8588.71
353,New York,Nassau,4,156577.84,5177.79,2,6950.22
354,New York,Nassau,2,149809.49,2694.15,1,7092.13
355,New York,Nassau,1,178155.16,6837.04,0,8124.04
356,New York,Nassau,2,116318.5,6236.01,1,6236.01
357,New York,Nassau,1,221046.24,6363.25,0,8024.57
358,New York,Nassau,1,173740.0,5336.7,0,6221.1
359,New York,Nassau,4,209736.55,3013.95,3,8384.91
360,New York,Nassau,2,191167.13,4878.39,1,4878.39
361,New York,Nassau,1,177210.58,3833.65,0,6907.65
362,New York,Nassau,3,257305.28,5186.6,0,6423.67
363,New York,Nassau,5,139762.3,3906.56,1,6266.31
364,New York,Nassau,3,170963.68,3273.02,1,7253.36
365,New York,Nassau,3,193290.94,4402.12,1,7956.77
366,New York,Nassau,1,207324.3,6456.09,0,6456.09
367,New York,Nassau,3,154749.77,7896.21,1,8411.62
368,New York,Nassau,6,184503.52,5456.76,1,5456.76
369,New York,Nassau,5,175319.3,3494.57,0,7693.48
370,New York,Nassau,1,225535.66,6066.98,0,8575.64
371,New York,Nassau,4,183346.98,5097.38,1,7610.17
372,New York,Nassau,3,189628.19,5367.1,1,7652.75
373,New York,Nassau,3,190082.89,4729.34,2,8302.58
374,New York,Nassau,3,169144.25,3890.1,2,8410.93
375,New York,Nassau,5,200516.04,7171.0,2,8060.54
376,New York,Nassau,1,217977.08,3794.64,0,9055.08
377,New York,Nassau,2,172138.2,4924.58,1,7092.14
378,New York,Nassau,3,210910.49,1806.89,1,8628.02
379,New York,Nassau,1,142965.36,7222.75,0,7392.13
380,New York,Nassau,2,157773.58,5907.16,0,6989.49
381,New York,Nassau,2,143719.0,3334.18,1,5304.68
382,New York,Nassau,3,163856.32,4718.4,1,6139.03
383,New York,Nassau,3,111840.09,7598.39,2,8632.84
384,New York,Nassau,1,160137.77,3288.24,0,7716.31
385,New York,Nassau,1,213756.26,7822.04,0,7822.04
386,New York,Nassau,5,186527.93,2922.04,3,7322.07
387,New York,Nassau,4,164741.02,4940.4,2,7247.07
388,New York,Nassau,2,214071.93,6468.09,1,6468.09
389,New York,Nassau,1,172256.64,5070.66,0,8597.19
390,New York,Nassau,4,146228.0,6962.42,1,8005.2
391,New York,Nassau,3,167546.96,3774.98,1,8519.6
392,New York,Nassau,1,177712.32,5861.98,0,7035.16
393,New York,Nassau,4,144803.84,1944.97,2,7356.97
394,New York,Nassau,5,152137.73,4943.03,1,5824.4
395,New York,Nassau,1,195424.8,5671.34,0,9385.38
396,New York,Nassau,3,178981.55,4865.25,2,7931.99
397,New York,Nassau,5,183209.65,6075.06,2,7443.88
398,New York,Nassau,1,194982.32,3902.73,0,8451.85
399,New York,Nassau,1,228509.61,5586.73,0,6318.53
400,New York,Nassau,2,216654.77,2756.93,1,5670.15
401,New York,Nassau,2,159479.14,5755.68,1,5755.68
402,New York,Nassau,2,185537.01,3811.63,1,5514.62
403,New York,Nassau,3,145646.04,5194.04,2,7826.58
404,New York,Nassau,2,201203.1,2286.02,0,10705.8
405,New York,Nassau,5,161757.61,3579.59,1,7986.68
406,New York,Nassau,2,170206.45,5646.79,1,8734.06
407,New York,Nassau,3,119281.27,4946.79,2,8143.88
408,New York,Nassau,2,215713.97,5323.16,1,6305.68
409,New York,Nassau,1,151564.71,4688.83,0,8177.02
410,New York,Nassau,5,203243.78,6099.15,0,8451.49
411,New York,Nassau,3,164613.27,5526.8,2,5526.8
412,New York,Nassau,4,223253.36,5101.76,2,8943.93
413,New York,Nassau,3,200870.01,6099.49,2,9599.42
414,New York,Nassau,3,176732.06,3660.33,2,7471.38
415,New York,Nassau,3,197714.29,5913.31,0,5913.31
416,New York,Nassau,1,184780.15,3500.56,0,6681.68
417,New York,Nassau,4,193488.64,4612.16,3,9915.15
418,New York,Nassau,4,164454.18,3493.42,1,8145.81
419,New York,Nassau,3,194463.11,6654.95,2,6654.95
420,New York,Nassau,1,165290.73,5472.32,0,7042.18
421,New York,Nassau,1,176883.09,5262.34,0,6892.41
422,New York,Nassau,1,191838.44,3071.56,0,7224.29
423,New York,Nassau,4,212294.47,4503.33,2,8744.94
424,New York,Nassau,3,178055.59,5529.02,2,5839.03
425,New York,Nassau,3,156491.97,3287.92,0,7032.52
426,New York,Nassau,3,232089.03,4803.9,2,5743.31
427,New York,Nassau,4,122113.76,5075.38,1,5075.38
428,New York,Nassau,3,189367.5,5717.01,1,6887.59
429,New York,Nassau,1,194510.02,4371.64,0,5281.91
430,New York,Nassau,3,140616.34,6406.93,2,6980.88
431,New York,Nassau,2,194198.62,6155.99,1,8646.84
432,New York,Nassau,1,197281.93,2121.28,0,7378.55
433,New York,Nassau,6,176868.74,4385.6,0,7433.23
434,New York,Nassau,3,189764.76,2982.3,1,6824.14
435,New York,Nassau,5,192326.13,6565.92,1,6565.92
436,New York,Nassau,3,212378.97,2641.17,0,8208.16
437,New York,Nassau,2,165435.47,5252.27,1,6924.95
438,New York,Nassau,1,158794.35,2885.73,0,8417.64
439,New York,Nassau,6,197756.06,5424.7,0,7699.98
440,New York,Nassau,4,178970.5,6326.45,2,6326.45
441,New York,Nassau,6,153684.82,3307.2,0,6955.91
442,New York,Nassau,2,193692.9,2428.87,1,6382.13
443,New York,Nassau,2,189580.07,4516.15,1,7069.46
444,New York,Nassau,2,171723.52,4180.51,1,7457.19
445,New York,Nassau,2,180267.96,5164.12,1,8523.9
446,New York,Nassau,5,175796.22,3926.43,1,9015.16
447,New York,Nassau,4,94932.38,2461.58,1,5786.3
448,New York,Nassau,1,93289.41,3913.82,0,7974.92
449,New York,Nassau,5,163422.17,6409.49,1,6714.06
450,New York,Nassau,4,144543.57,4044.48,1,8666.93
451,New York,Nassau,5,123685.95,6379.33,2,8753.46
452,New York,Nassau,2,152450.99,4290.17,1,6777.12
453,New York,Nassau,6,163002.81,5319.4,1,6945.63
454,New York,Nassau,4,177453.89,5597.3,2,7136.8
455,New York,Nassau,2,201521.84,5302.46,0,8776.15
456,New York,Nassau,4,213123.86,6973.91,0,6973.91
457,New York,Nassau,1,164959.63,6057.58,0,6081.06
458,New York,Nassau,3,149551.91,6759.66,1,8455.01
459,New York,Nassau,1,127201.43,4179.55,0,8961.26
460,New York,Nassau,3,174394.54,4099.59,2,5807.24
461,New York,Nassau,4,182524.76,5691.25,1,7319.65
462,New York,Nassau,5,136535.67,4742.69,2,8478.69
463,New York,Nassau,5,222972.07,3313.2,0,8508.6
464,New York,Nassau,2,165053.27,6023.01,1,6776.45
465,New York,Nassau,4,132013.36,4048.92,1,8999.79
466,New York,Nassau,3,157764.77,5061.41,1,6345.57
467,New York,Nassau,6,170106.18,5322.73,2,7352.19
468,New York,Nassau,2,220158.64,4110.58,1,6524.55
469,New York,Nassau,5,145423.26,5360.57,2,7105.65
470,New York,Nassau,5,181205.61,5354.06,2,7985.03
471,New York,Nassau,2,139959.71,4603.59,1,6782.93
472,New York,Nassau,1,188099.37,6938.65,0,8528.62
473,New York,Nassau,2,201313.69,5543.66,1,7666.47
474,New York,Nassau,3,187242.32,6342.09,1,6449.96
475,New York,Nassau,1,186893.61,5724.91,0,8575.96
476,New York,Nassau,2,164216.97,6164.47,1,7954.83
477,New York,Nassau,1,173415.92,5629.75,0,6906.09
478,New York,Nassau,1,132607.79,4550.57,0,7963.63
479,New York,Nassau,1,149003.92,3997.26,0,8052.49
480,New York,Nassau,2,192548.78,2835.6,0,7796.66
