"householdID","visits","avgrides_perperson","avgmerch_perperson","avggoldzone_perperson","avgfood_perperson","goldzone_playersclub","own_car","homestate","FB_Like","renew"
"2471",19,1.9,15.1,11.8,52.9,"0","1","CT","0",1
"2481",20,9,32.4,62.7,18.8,"0","1","CT","0",1
"2540",20,6.4,34.4,87,32,"0","1","CT","1",1
"2550",20,10.1,16,86.4,19.8,"0","1","CT","1",1
"2589",20,6.8,4.8,30.7,36.5,"0","1","CT","0",1
"2590",20,9.3,39.4,112.4,13.8,"0","1","CT","0",1
"2591",20,12.6,85.9,97.3,31.3,"0","1","CT","1",1
"2622",20,12.8,2.5,104.3,38.4,"0","1","CT","0",0
"2661",20,2.3,6,17.2,33.9,"0","1","CT","1",1
"2664",18,10.9,18.6,40.5,21.5,"0","1","CT","0",1
"2668",17,10.4,6,162.8,31.5,"0","1","CT","1",1
"2695",20,8.2,25.9,119,57.8,"0","1","CT","1",1
"2716",19,8.4,7.5,76.2,3.1,"0","1","CT","0",1
"2729",20,9.3,12.1,63.8,41.5,"0","1","CT","1",1
"2747",19,11,62.8,66.5,46.5,"1","1","CT","0",1
"2800",20,1.5,16.4,62.5,34,"1","1","CT","1",1
"2802",20,10.2,9.7,54.2,21.5,"0","1","CT","0",1
"2809",13,12.6,39.9,51.4,25.5,"0","1","CT","1",1
"2835",18,12.3,5.8,89.9,36.2,"1","1","CT","0",1
"2853",20,13.2,37.6,63.1,5.5,"1","1","CT","0",1
"2868",20,11.8,12.5,46.7,24.7,"1","1","CT","0",1
"2871",20,12,31,111.1,31,"0","1","CT","1",1
"2902",18,11,34.2,151.4,18.6,"1","1","CT","1",1
"2904",16,12.9,77.6,20.8,71.9,"0","1","CT","0",1
"2908",20,10.7,44.2,87,50.9,"1","1","CT","1",1
"2961",20,12.2,15,73.7,25.7,"1","1","CT","1",1
"2963",19,12.4,15,12.2,61.1,"0","1","CT","0",1
"2977",20,9.6,81,26.9,9.6,"0","1","CT","1",1
"2981",20,9.8,5.5,147.1,66.1,"0","1","CT","0",1
"2985",20,13.4,40,42.3,11.6,"1","1","CT","1",1
"3000",19,8.7,80.6,23.6,31.9,"0","1","CT","1",0
"3010",17,9.4,22.8,35.2,20.8,"0","1","CT","0",1
"3020",17,10,24.2,13.6,4.4,"0","1","CT","1",0
"3023",18,9.3,70.3,145.7,2.5,"0","1","CT","0",1
"3046",20,10.7,38.9,14.1,27.9,"0","1","CT","0",1
"3053",16,9.4,13.4,24.1,17.6,"0","1","CT","0",0
"3057",16,10.4,47.2,93.9,41.6,"0","1","CT","0",1
"3078",18,9.8,36.8,139.8,10,"1","1","CT","1",1
"3109",20,11.6,22,22.8,15.2,"0","1","CT","1",1
"3135",19,10.7,11.8,90,26.6,"0","1","CT","0",1
"3167",18,11.6,16.1,100.7,12.7,"0","1","CT","0",1
"3188",20,10.1,8.2,101.5,25.7,"0","1","CT","1",1
"5",14,12.3,9.5,82,19.1,"0","1","NJ","0",1
"11",18,12.8,7.7,136.6,22,"0","1","NJ","0",1
"34",20,8.9,44.2,32.6,44.4,"0","1","NJ","0",0
"53",19,9.1,23.1,51.8,36.3,"0","1","NJ","0",1
"68",18,9.2,3.9,169.1,34.6,"0","1","NJ","0",1
"95",20,12.5,15.5,167.2,21.6,"0","1","NJ","1",1
"114",19,2,30.4,31.1,5.8,"0","1","NJ","0",1
"127",17,12.6,6,12.3,33.7,"1","1","NJ","0",0
"137",19,9.8,88.1,157.7,19.6,"1","1","NJ","0",1
"138",20,2,46.6,49.5,3.9,"0","1","NJ","0",1
"149",19,12.1,23.6,165.4,7.8,"1","1","NJ","0",1
"153",14,11.3,14.5,128.2,27.7,"0","1","NJ","0",1
"228",18,12.3,51.6,158.2,7.6,"0","1","NJ","1",1
"240",19,10.3,18.9,52,63.5,"0","1","NJ","1",1
"264",19,13,7.3,76.7,21.4,"0","1","NJ","1",1
"283",20,8.5,29.8,34.5,46.7,"0","1","NJ","1",1
"293",18,10.2,30.5,42,53.3,"0","1","NJ","0",1
"315",15,12.3,5.5,133.3,3.4,"1","1","NJ","1",1
"327",19,10.6,23.4,74.1,12.5,"0","1","NJ","0",0
"367",18,7.2,41.4,164.1,32.7,"0","1","NJ","0",1
"376",19,10.1,88.8,108.4,14,"1","1","NJ","1",1
"378",20,11.3,37.3,67.4,4.6,"0","1","NJ","1",1
"392",19,8,22.1,107.1,21.7,"0","1","NJ","1",1
"411",20,2.4,19.1,101.1,25.7,"1","1","NJ","0",1
"416",18,8.8,49.2,60.7,19.8,"0","1","NJ","1",1
"448",20,10.4,27.5,45.1,30.2,"0","1","NJ","1",1
"450",19,11.6,16.6,149.2,21.1,"0","1","NJ","1",1
"490",19,10.7,77.9,87.1,16.1,"0","1","NJ","1",1
"494",19,2.2,49.8,76.2,15.1,"0","1","NJ","0",1
"511",20,8.9,47.4,138.5,41.5,"0","1","NJ","0",1
"519",19,8.5,21.3,102.2,18.4,"0","1","NJ","0",1
"533",20,10.2,16.4,168.8,73.2,"0","1","NJ","1",1
"593",20,8.6,74,52.5,31.1,"0","1","NJ","0",0
"647",19,10.2,87,68.1,75,"0","1","NJ","1",1
"673",19,10.6,14.3,57.7,11.6,"0","1","NJ","1",0
"712",19,8.5,71.2,134.3,32.8,"0","1","NJ","1",1
"737",17,7.4,3.9,63.4,12,"0","1","NJ","0",1
"740",20,12,0.3,80.1,35.1,"0","1","NJ","0",1
"745",19,12.1,29.9,15,28.1,"0","1","NJ","0",1
"760",17,11.6,9,167.7,26.6,"0","1","NJ","0",1
"763",19,4.1,76.2,132.3,10.1,"0","1","NJ","1",1
"776",20,13.1,59.7,160.4,8.2,"0","1","NJ","1",1
"786",15,10,43.6,31.3,23.7,"0","1","NJ","0",1
"789",19,7.1,5.9,57.2,73.1,"0","1","NJ","1",0
"835",19,10.9,61.8,77,36.6,"1","1","NJ","0",1
"864",20,9,89,18.3,76.2,"1","1","NJ","1",1
"910",20,10.8,83.4,73,27.9,"0","1","NJ","1",1
"913",19,2.2,30.9,53.2,34.8,"0","1","NJ","1",1
"922",20,12.3,71.4,98.7,11.1,"0","1","NJ","0",1
"943",18,10.2,2.1,23.9,37.7,"1","1","NJ","0",1
"1063",18,12.3,55.3,79,18.2,"0","1","NJ","0",1
"1071",18,1.8,71.7,119.8,42.5,"0","1","NJ","1",1
"1085",20,9.9,2.1,138.3,20.3,"0","1","NJ","1",1
"1110",18,11,10.7,69.9,16.2,"0","1","NJ","1",1
"1118",19,12.9,51.9,105.3,10.5,"1","1","NJ","1",1
"1127",20,11.9,29,145.9,25.1,"0","1","NJ","0",1
"1170",20,9.7,44.1,21.4,13.3,"0","1","NJ","1",1
"1235",18,12.2,36.9,73.4,15.2,"0","1","NJ","0",1
"1284",19,10.9,24.6,41.3,36,"0","1","NJ","1",1
"1312",19,10.2,46.5,125,12.2,"0","1","NJ","1",1
"1329",19,11.5,41,166.6,13.9,"1","1","NJ","1",1
"1380",20,8.3,48.3,78.9,24.5,"0","1","NJ","1",1
"1391",18,6.7,88.2,19.7,73.8,"0","1","NJ","1",1
"1397",19,10.9,41,78.1,61.6,"0","1","NJ","0",1
"1404",19,12.6,87.2,31.5,68.4,"0","1","NJ","1",1
"1421",20,8.1,34.7,66.7,38.7,"0","1","NJ","0",1
"1441",19,10.2,7.4,97.3,49.5,"0","1","NJ","1",1
"1468",19,8,83.3,59.6,45.2,"1","1","NJ","0",1
"1474",20,2.2,24.3,17.5,55.6,"0","1","NJ","0",1
"1480",20,10,73.5,60.7,30.9,"0","1","NJ","1",1
"1481",19,9.4,23.1,29.6,13.8,"0","1","NJ","1",1
"1498",20,11.7,13.3,48.6,73.4,"1","1","NJ","1",1
"1499",20,6.3,29.8,51.9,12.4,"0","1","NJ","0",1
"1507",20,9.8,20.8,49.3,22.9,"0","1","NJ","0",1
"1516",20,9.7,9.1,63.2,30.2,"0","1","NJ","0",1
"1520",20,8.4,31.6,163.9,17.5,"0","1","NJ","1",1
"1539",20,8.6,17.2,0.4,65.9,"0","1","NJ","0",1
"1545",18,12.8,2.2,87.7,74.4,"0","1","NJ","0",1
"1549",17,9.7,29.9,65.3,4.9,"0","1","NJ","1",1
"1572",20,11.2,34.4,12.6,0.2,"0","1","NJ","0",1
"1610",17,10.7,60.2,72.8,7.6,"0","1","NJ","1",1
"1668",19,5,13.9,91.2,56.1,"0","1","NJ","0",1
"1670",20,8.6,49.5,172.8,21.6,"0","1","NJ","1",1
"1683",20,10.1,46.1,66.7,8.7,"1","1","NJ","0",0
"1701",20,9.5,7.9,2.1,30.5,"0","1","NJ","1",1
"1727",19,9.5,79.6,41.6,41.5,"0","1","NJ","0",0
"1740",20,10.1,31.4,11.5,19.7,"0","1","NJ","1",0
"1742",17,11.6,1.4,17.3,4.5,"0","1","NJ","0",1
"1745",20,9.9,60.1,26.2,29.9,"0","1","NJ","0",1
"1746",19,9.1,72.7,121.9,9.1,"0","1","NJ","1",1
"1758",20,9,71.5,64.5,14.3,"0","1","NJ","1",1
"1781",19,12.2,23.8,100,0.8,"0","1","NJ","0",0
"1788",19,10.7,80.5,89.1,2.6,"1","1","NJ","1",1
"1866",19,10,26.4,118.1,1.5,"0","1","NJ","1",1
"1883",20,11.7,29.4,150.1,55.5,"0","1","NJ","1",1
"1932",17,7.2,55.2,48.5,27.2,"0","1","NJ","0",1
"1972",16,7.4,72.6,169,32.4,"0","1","NJ","1",1
"2002",19,9.9,27.3,108,26.4,"1","1","NJ","0",1
"2054",19,10.3,49.1,131.9,28.1,"0","1","NJ","0",1
"2090",20,13,37.4,24.3,1.2,"1","1","NJ","1",1
"2106",20,9.3,4.9,35.5,23.9,"1","1","NJ","0",1
"2111",19,3.8,38.1,45.8,12.8,"0","1","NJ","0",1
"2114",20,9.7,46.2,126.9,37.9,"1","1","NJ","1",1
"2121",20,10,40.6,69.3,35,"0","1","NJ","1",1
"2136",19,9.8,8,136.4,48.4,"0","1","NJ","0",1
"2149",19,12.9,30.7,92.3,63.2,"0","1","NJ","1",1
"2153",20,9.7,13.1,84.3,2.7,"0","1","NJ","0",1
"2155",20,10,8.3,29.7,15,"0","1","NJ","1",1
"2172",20,9.4,38.1,55.9,32.4,"1","1","NJ","1",1
"2173",19,11.1,40.3,7.9,35.8,"0","1","NJ","0",1
"2185",20,8.2,13.2,43.6,72.5,"0","1","NJ","0",1
"2197",17,10.3,46.8,42,16.8,"0","1","NJ","0",1
"2245",18,13.1,18.9,46.5,24.7,"0","1","NJ","0",1
"2248",19,5.2,81.8,27.6,29.4,"0","1","NJ","1",1
"2266",20,9.2,24.9,62.2,7.2,"1","1","NJ","1",1
"2267",19,8.8,9.2,127.5,54.8,"0","1","NJ","0",1
"2275",19,7.1,77.3,56.7,59,"0","1","NJ","1",1
"2280",20,7.3,7.4,46.1,35.2,"0","1","NJ","1",1
"2293",17,12.1,32.2,164,47.5,"0","1","NJ","1",1
"2296",18,8.3,1.4,165.8,55.4,"0","1","NJ","0",1
"2308",15,11.8,73,52,41.6,"0","1","NJ","0",0
"2346",19,11.7,42.5,110,4.9,"1","1","NJ","0",1
"2350",16,11.4,26.4,35.4,11.9,"0","1","NJ","0",1
"2390",19,7.1,69.9,119.3,76,"0","1","NJ","0",1
"2403",20,1.9,35.7,162.6,67.8,"0","1","NJ","0",1
"2407",19,12,7.3,90.6,42,"0","1","NJ","1",1
"2464",19,9.1,44.7,106.4,36.6,"0","1","NJ","1",1
"2487",19,11.2,26.3,47.5,27.2,"1","1","NJ","0",1
"2494",20,8.2,23.5,100.8,12.5,"0","1","NJ","0",0
"2507",17,1.8,60.9,20.3,71.1,"1","1","NJ","1",1
"2515",18,9.9,75.5,98.5,33.3,"0","1","NJ","1",1
"2561",18,10.9,31.8,155.6,45.1,"0","1","NJ","1",0
"2565",19,9,27.4,27.7,26.5,"0","1","NJ","0",1
"2646",19,8.1,46.3,9.2,75.7,"0","1","NJ","0",1
"2650",15,2.7,53.9,54.4,14.6,"0","1","NJ","0",1
"2662",19,11,17.9,62.3,22.6,"0","1","NJ","1",0
"2696",19,9.3,25.8,24.9,24.1,"0","1","NJ","1",1
"2720",20,9.2,74.1,93.7,9.3,"0","1","NJ","0",1
"2724",20,12,3.3,44,23.2,"0","1","NJ","0",1
"2734",20,6.9,81.8,65.2,23,"0","1","NJ","0",1
"2739",20,9.6,7.7,3.3,47.4,"1","1","NJ","1",1
"2768",20,9.9,9.9,112.7,30.8,"0","1","NJ","0",1
"2777",19,1.7,2.8,94.1,39.5,"1","1","NJ","0",1
"2786",20,8.9,1.7,43.2,72.7,"1","1","NJ","0",1
"2807",20,10.6,23.5,144.3,12.7,"1","1","NJ","0",1
"2808",19,7.7,16.6,27.9,34.4,"0","1","NJ","0",1
"2813",20,8.4,30,30.6,30,"0","1","NJ","1",1
"2857",17,9.3,36.4,88.5,70.7,"0","1","NJ","0",1
"2865",20,10.6,54.4,105.5,7.1,"0","1","NJ","0",1
"2869",19,9.1,28.3,98.7,17.5,"0","1","NJ","0",1
"2882",19,7.9,18.2,141,39,"1","1","NJ","0",1
"2898",16,7.8,17,47.3,11.9,"0","1","NJ","0",1
"2907",19,11.4,38.9,90,12.4,"0","1","NJ","0",1
"2956",18,3.3,36.5,131.2,17.1,"0","1","NJ","0",1
"2964",19,9.5,36.5,124,26,"1","1","NJ","0",1
"3048",14,7.5,52.9,79.2,38.8,"0","1","NJ","1",1
"3077",20,10,30.2,121.3,31.3,"0","1","NJ","1",1
"3102",20,13.3,5,105,46,"0","1","NJ","1",1
"3139",20,12.8,25.3,56.4,13,"1","1","NJ","0",1
"3147",18,10.5,15,62.7,46.4,"1","1","NJ","0",1
"3154",20,13.4,1.6,157.3,49.4,"0","1","NJ","1",1
"3176",17,12.4,36.7,68.6,11.8,"0","1","NJ","0",1
"107",17,10.5,67.6,25.4,40.4,"1","0","NJ","0",1
"112",16,7.9,52.8,96,23.6,"1","0","NJ","0",1
"173",18,11.7,11.8,104.2,39.4,"0","0","NJ","1",0
"217",16,8.6,36.2,147.3,65.1,"0","0","NJ","0",0
"265",17,11.3,37.6,82.3,66.7,"0","0","NJ","0",1
"384",18,12.6,24.3,65.1,31.6,"0","0","NJ","0",1
"538",14,11.7,33.4,54.4,26,"0","0","NJ","0",1
"697",19,8.3,54.5,78.5,32.8,"0","0","NJ","0",1
"749",17,8.1,35.2,27.8,74,"0","0","NJ","1",1
"795",20,11.3,49.6,58.3,46.7,"0","0","NJ","1",1
"803",18,10.5,33.4,142.4,20.7,"0","0","NJ","1",1
"896",20,12.7,23.6,61.5,30.3,"0","0","NJ","0",1
"935",20,8.6,41.9,143.5,44.5,"0","0","NJ","0",0
"1041",19,9.3,83.5,55.5,63,"0","0","NJ","1",1
"1047",19,11.7,66.5,171.1,0.1,"0","0","NJ","0",1
"1168",19,6.8,55.5,31.5,12.9,"0","0","NJ","1",1
"1325",20,2.3,11,167.8,74.3,"0","0","NJ","1",1
"1347",19,2.1,11.7,34.6,40,"0","0","NJ","1",1
"1363",18,9.9,85.9,87.2,33.1,"0","0","NJ","0",1
"1395",19,10.3,85.9,107.5,36.2,"0","0","NJ","0",1
"1407",19,11,33.4,102.7,71.4,"0","0","NJ","0",1
"1453",19,11,16,133.4,25.2,"0","0","NJ","1",1
"1596",19,11.1,23.7,73.8,71.6,"0","0","NJ","1",1
"1867",20,10.1,73.6,109,45.4,"0","0","NJ","1",1
"2101",19,8.6,7,43.8,17.3,"0","0","NJ","1",1
"2124",20,7.2,39.3,92.5,31.8,"1","0","NJ","1",1
"2137",20,10.7,31.1,152.6,17.3,"0","0","NJ","0",1
"2154",18,7.9,28.9,116.1,5.2,"0","0","NJ","0",1
"2199",20,6.8,24.2,83.6,1,"0","0","NJ","0",1
"2219",20,10.1,42.1,101.4,16.5,"0","0","NJ","0",0
"2237",18,11.5,7.6,24.6,18.7,"0","0","NJ","1",1
"2289",19,8.4,30.3,120,11,"0","0","NJ","1",0
"2453",18,10.9,33.2,77.9,21.4,"0","0","NJ","0",1
"2610",19,9.5,18.3,63.3,27.1,"0","0","NJ","0",1
"2632",19,9.6,3.4,135.8,3.6,"0","0","NJ","1",1
"2682",18,13.2,88,30.6,31.7,"0","0","NJ","0",1
"2705",17,3.7,59.3,51.8,28.4,"0","0","NJ","1",1
"2812",18,10.2,79.5,46,21.9,"0","0","NJ","1",1
"2841",17,13.2,17.1,95.9,1.5,"1","0","NJ","0",1
"2856",20,11.4,38,170.9,13.5,"1","0","NJ","0",1
"2924",20,9.5,57.4,136.3,46.6,"1","0","NJ","0",0
"2994",20,11.4,17.7,96.4,21.2,"0","0","NJ","1",1
"3098",18,11.1,44.8,53.2,76.3,"0","0","NJ","0",1
"3121",18,9.3,39,42.3,2.6,"0","0","NJ","0",1
"3149",20,6.4,40.3,85,32.5,"1","0","NJ","0",0
"51",19,12.4,14.9,89.7,44.6,"1","0","NY","0",1
"73",19,8.9,82.7,30.4,40.7,"1","1","NY","0",1
"174",19,10.9,16,88.5,45.3,"1","1","NY","1",1
"212",20,12.2,26.6,32.5,35.7,"1","0","CT","1",1
"247",20,11.6,29.4,100,27.4,"1","1","NY","1",1
"258",20,10.3,21.7,159.7,62.2,"1","1","NY","0",1
"375",17,12.9,16.6,59.9,34.4,"1","1","NY","1",1
"440",20,12.2,42.9,2.3,27.5,"1","0","NY","1",1
"462",18,7.2,69.9,124.6,8.8,"1","1","NY","1",1
"477",20,6.6,15.7,70.2,29.6,"1","1","NY","0",0
"491",19,7.4,35.1,58.9,17.6,"1","0","NY","1",1
"524",19,3.1,39.6,64.3,43.7,"1","1","NY","1",1
"581",20,11.1,66.6,39,44.8,"1","1","NY","0",1
"607",19,11,13.2,146.7,28.8,"1","1","NY","0",0
"671",20,2,23.1,119.5,23.5,"1","0","CT","1",1
"715",20,12.1,84.9,27.3,1.9,"1","1","NY","0",1
"768",19,12.9,2.7,161.3,8.6,"1","0","NY","1",1
"924",18,7.7,16.7,48.9,13.3,"1","0","NY","1",1
"984",19,11.7,50,32.5,30.1,"1","0","CT","1",1
"992",20,10,56.8,99.3,65.9,"1","0","CT","1",1
"1004",20,10.1,24.6,66.4,33.5,"1","1","NY","1",1
"1007",17,11.6,23.3,66.5,13.5,"1","1","NY","0",0
"1182",19,11.1,45.4,170.9,9.3,"1","0","CT","1",1
"1226",19,11.9,83.9,59.5,25.4,"1","0","NY","0",1
"1311",19,11.1,8.3,63.6,22.4,"1","1","NY","1",1
"1318",19,9.7,18.2,60.6,29.7,"1","1","NY","0",1
"1603",20,11.4,47,23.9,12,"1","1","NY","0",1
"1666",19,12,6.9,71,25.7,"1","1","NY","1",1
"1877",20,10.8,55.5,94.2,42.3,"1","1","NY","1",1
"1880",20,8.4,31.1,153.1,63.7,"1","1","NY","1",1
"1917",18,10.7,78.3,75.5,32.7,"1","0","CT","1",1
"1987",20,12.3,82.3,68.4,35.7,"1","0","NY","1",1
"2047",20,12.3,27,47.2,38.5,"1","0","CT","0",1
"2163",19,10.3,57.5,161.6,36.8,"1","0","NY","0",1
"2338",18,12,49.1,96.7,46.3,"1","0","CT","1",1
"2341",20,2.8,11.3,40.6,11.5,"1","1","NY","0",1
"2391",18,10.8,0.4,27,18.4,"1","1","NY","1",1
"2480",19,11.1,87.5,105.8,27.1,"1","0","NY","0",1
"2499",20,9.7,85.9,86.9,12.6,"1","0","CT","0",1
"2532",15,10.8,88.1,109.4,75,"1","0","CT","1",1
"2539",20,11.7,8.6,97.7,14.3,"1","0","NY","1",1
"2614",20,5.9,73.7,155,12.4,"1","0","NY","1",1
"2697",19,6.7,41.4,10.6,33.9,"1","1","NY","1",1
"3100",20,1.8,37.4,114.6,3.8,"1","0","CT","0",1
"38",19,10.5,3.5,67.4,48.4,"0","0","CT","1",1
"88",20,12,4.7,110.8,27.4,"0","0","NY","0",1
"110",19,11.2,41.1,32.3,76,"0","0","CT","0",1
"115",20,11,46.2,108.2,14.5,"0","1","NY","0",1
"171",18,12.6,32.3,37,27.6,"0","1","NY","0",1
"255",20,12.2,7.1,13,56.2,"0","0","NY","0",1
"267",20,10.4,5.4,18.3,32,"0","0","CT","1",1
"304",20,11.1,6.6,116.4,13.2,"0","1","NY","1",1
